surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
Cu	211	CCOH	5.28840793467	fcc	[38, 126, 191, 234, 260, 292, 468, 493, 1024, 1205, 1667, 3783]	[]	This work

CuCo	211	HCO	2.049	fcc	[]	[]	Ang
CuCo	211	CH2CO	3.179	fcc	[]	[]	Ang
CuCo	211	CH2O	1.583	fcc	[]	[]	Ang
CuCo	211	CH2OH	1.679	fcc	[]	[]	Ang
CuCo	211	CH3	0.64	fcc	[]	[]	Ang
CuCo	211	CH3CH2O	1.543	fcc	[]	[]	Ang
CuCo	211	CH3CO	2.540	fcc	[]	[]	Ang
CuCo	211	CHCHO	3.197	fcc	[]	[]	Ang
CuCo	211	CH2	1.433	fcc	[]	[]	Ang
CuCo	211	CH3O	0.899	fcc	[]	[]	Ang
CuCo	211	CH3CHO	2.253	fcc	[]	[]	Ang
CuCo	211	O-CH	3.369	fcc	[]	[]	Ang
CuCo	211	CHCHOH	2.51	fcc	[]	[]	Ang
